0.114875937160123-0.574379685800613j,-0.268043853373619+1.11046739254785j,0.804131560120858+0.650963643907361j,1.0338834344411+0.0382919790533742j,0.727547602014109-0.191459895266871j,0.421211769587116+1.11046739254785j,-1.11046739254785+0.880715518227606j,1.1870513506546+0.191459895266871j,-0.114875937160123+0.880715518227606j,-0.344627811480368-0.114875937160123j,0.191459895266871+1.0338834344411j,-1.11046739254785+0.880715518227606j,1.0338834344411-0.497795727693864j,-0.650963643907361+0.191459895266871j,0.191459895266871+0.114875937160123j
0.268043853373619-0.804131560120858j,-0.650963643907361-0.344627811480368j,-0.268043853373619+0.727547602014109j,1.11046739254785-0.421211769587116j,1.1870513506546+0.497795727693864j,-0.957299476334354-0.574379685800613j,0.574379685800613-0.114875937160123j,-0.880715518227606+1.0338834344411j,-0.650963643907361+1.0338834344411j,0.650963643907361-1.1870513506546j,1.11046739254785+0.957299476334354j,-0.421211769587116+0.421211769587116j,0.344627811480368-0.574379685800613j,-0.114875937160123+1.1870513506546j,0.421211769587116+0.727547602014109j
-0.880715518227606+0.650963643907361j,0.497795727693864-0.650963643907361j,-0.344627811480368+0.727547602014109j,1.0338834344411-0.344627811480368j,0.880715518227606-1.11046739254785j,-0.0382919790533742+0.268043853373619j,0.191459895266871-0.344627811480368j,0.421211769587116+1.0338834344411j,-0.880715518227606+0.804131560120858j,-0.191459895266871-0.268043853373619j,0.957299476334354-0.344627811480368j,0.727547602014109-0.0382919790533742j,0.880715518227606-0.804131560120858j,-0.880715518227606+0.421211769587116j,1.1870513506546+0.574379685800613j
0.421211769587116-0.804131560120858j,-0.880715518227606+0.880715518227606j,0.344627811480368+0.497795727693864j,0.344627811480368+1.11046739254785j,0.497795727693864+0.727547602014109j,0.0382919790533742-0.804131560120858j,1.0338834344411-0.880715518227606j,0.727547602014109+0.574379685800613j,0.650963643907361+1.11046739254785j,-0.114875937160123-0.191459895266871j,-1.0338834344411-0.268043853373619j,-0.421211769587116+1.0338834344411j,1.11046739254785+0.957299476334354j,-0.727547602014109-0.727547602014109j,-0.880715518227606-0.804131560120858j
0.268043853373619+0.957299476334354j,0.880715518227606+1.0338834344411j,-0.574379685800613-0.191459895266871j,0.574379685800613-0.344627811480368j,-1.1870513506546+1.1870513506546j,0.957299476334354+0.191459895266871j,-0.497795727693864+0.727547602014109j,-0.191459895266871-0.497795727693864j,0.421211769587116+0.0382919790533742j,0.650963643907361+0.804131560120858j,0.344627811480368+0.344627811480368j,1.0338834344411-0.497795727693864j,0.191459895266871+0.191459895266871j,-0.191459895266871+0.421211769587116j,-0.574379685800613-0.114875937160123j
-1.0338834344411+0.191459895266871j,-0.727547602014109+0.344627811480368j,-0.114875937160123+0.191459895266871j,-0.574379685800613-0.0382919790533742j,-0.574379685800613+0.344627811480368j,0.497795727693864-1.1870513506546j,-0.0382919790533742-1.1870513506546j,0.114875937160123+0.727547602014109j,-0.268043853373619+0.344627811480368j,1.1870513506546+0.421211769587116j,0.191459895266871-0.574379685800613j,1.1870513506546+0.344627811480368j,0.880715518227606-0.650963643907361j,0.727547602014109-1.0338834344411j,0.114875937160123+0.191459895266871j
-0.880715518227606-0.421211769587116j,-0.191459895266871-0.957299476334354j,-1.0338834344411+0.344627811480368j,-0.268043853373619-0.344627811480368j,-0.268043853373619-0.880715518227606j,-1.11046739254785+0.268043853373619j,-1.1870513506546-0.574379685800613j,1.0338834344411-0.880715518227606j,-1.11046739254785-0.114875937160123j,0.804131560120858-0.804131560120858j,0.574379685800613-0.497795727693864j,-1.1870513506546+0.497795727693864j,0.191459895266871+0.880715518227606j,-0.574379685800613-0.650963643907361j,-1.11046739254785-0.421211769587116j
0.574379685800613+0.268043853373619j,0.957299476334354-0.727547602014109j,0.727547602014109-1.1870513506546j,-0.727547602014109-0.880715518227606j,0.650963643907361-0.497795727693864j,0.804131560120858-0.114875937160123j,0.574379685800613+0.650963643907361j,-0.0382919790533742+0.421211769587116j,0.957299476334354+0.114875937160123j,0.421211769587116-0.957299476334354j,1.0338834344411+0.0382919790533742j,-0.114875937160123-0.421211769587116j,0.344627811480368+1.1870513506546j,-0.114875937160123-0.497795727693864j,1.0338834344411-0.0382919790533742j
0.114875937160123+0.650963643907361j,0.421211769587116-0.344627811480368j,0.268043853373619-0.957299476334354j,-0.497795727693864+0.191459895266871j,0.268043853373619-0.0382919790533742j,-0.574379685800613+0.880715518227606j,0.0382919790533742+0.804131560120858j,0.880715518227606+1.1870513506546j,0.114875937160123-0.421211769587116j,-0.344627811480368-0.0382919790533742j,-0.0382919790533742+0.0382919790533742j,1.11046739254785-0.650963643907361j,1.0338834344411+0.804131560120858j,0.650963643907361-0.804131560120858j,-0.880715518227606-0.344627811480368j
0.268043853373619+0.344627811480368j,-0.0382919790533742-0.268043853373619j,-0.650963643907361+1.0338834344411j,0.957299476334354-0.727547602014109j,-0.344627811480368-0.650963643907361j,-0.957299476334354+0.0382919790533742j,0.268043853373619+0.421211769587116j,0.268043853373619+0.957299476334354j,-1.1870513506546-0.268043853373619j,-0.497795727693864-0.727547602014109j,1.0338834344411+1.1870513506546j,0.421211769587116-0.0382919790533742j,-0.957299476334354+0.421211769587116j,0.650963643907361-0.804131560120858j,-0.880715518227606-1.11046739254785j
-0.727547602014109+0.497795727693864j,-0.114875937160123-0.727547602014109j,0.0382919790533742+0.268043853373619j,-0.344627811480368-0.497795727693864j,-0.880715518227606-0.497795727693864j,0.191459895266871-1.11046739254785j,0.574379685800613+0.574379685800613j,1.11046739254785-0.497795727693864j,0.727547602014109+0.114875937160123j,0.191459895266871+0.421211769587116j,0.497795727693864-1.11046739254785j,0.880715518227606-1.1870513506546j,-1.11046739254785+0.880715518227606j,-0.0382919790533742+0.0382919790533742j,-0.344627811480368-0.650963643907361j
